key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
sl4_01,SL4-01,PR,ラビットハートミントトップス,トップス,70463,緑,ブランドなし,,850,PP-01,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_02,SL4-02,PR,ラビットハートミントスカート,ボトムス,70464,緑,ブランドなし,,800,PP-01,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_03,SL4-03,PR,ラビットハートミントシューズ,シューズ,70465,緑,ブランドなし,,750,PP-01,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_04,SL4-04,PR,ラビットハートミントヘアアクセ,ヘアアクセ,70466,ピンク,ブランドなし,,750,PP-01,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_05,SL4-05,PR,ムーンライトパープルトップス,トップス,70467,紫,ブランドなし,,750,PP-02,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_06,SL4-06,PR,ムーンライトパープルパンツ,ボトムス,70468,紫,ブランドなし,,850,PP-02,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_07,SL4-07,PR,ムーンライトパープルシューズ,シューズ,70469,黒,ブランドなし,,800,PP-02,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_08,SL4-08,PR,ムーンライトパープルヘアアクセ,ヘアアクセ,70470,紫,ブランドなし,,750,PP-02,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_09,SL4-09,SR,あおぞらマーチトップス,トップス,70471,水色,ブランドなし,,650,PP-03,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_10,SL4-10,SR,あおぞらマーチスカート,ボトムス,70472,水色,ブランドなし,,700,PP-03,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_11,SL4-11,SR,あおぞらマーチシューズ,シューズ,70473,水色,ブランドなし,,600,PP-03,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_12,SL4-12,SR,あおぞらマーチヘアアクセ,ヘアアクセ,70474,水色,ブランドなし,,600,PP-03,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_13,SL4-13,SR,バニーマジシャンロイヤルワンピ,ワンピース,70475,赤,ブランドなし,,1200,PP-04,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_14,SL4-14,SR,バニーマジシャンロイヤルシューズ,シューズ,70476,赤,ブランドなし,,600,PP-04,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_15,SL4-15,SR,ホワイトバニーヘアアクセ,ヘアアクセ,70477,白,ブランドなし,,600,PP-04,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_16,SL4-16,R,アイシングクッキーメルヘンワンピ,ワンピース,70478,茶,ブランドなし,,900,PP-05,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_17,SL4-17,R,アイシングクッキーメルヘンシューズ,シューズ,70479,ピンク,ブランドなし,,450,PP-05,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_18,SL4-18,R,アイシングクッキーヘアアクセ,ヘアアクセ,70480,ピンク,ブランドなし,,450,PP-05,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_19,SL4-19,R,プリパラナースほほえみのトップス,トップス,70481,緑,ブランドなし,,550,PP-06,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_20,SL4-20,R,プリパラナースほほえみのスカート,ボトムス,70482,緑,ブランドなし,,500,PP-06,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_21,SL4-21,R,プリパラナースほほえみのシューズ,シューズ,70483,緑,ブランドなし,,450,PP-06,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_22,SL4-22,R,プリパラナースほほえみのヘアアクセ,ヘアアクセ,70484,白,ブランドなし,,450,PP-06,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_23,SL4-23,R,チアガールシャイントップス,トップス,70496,オレンジ,ブランドなし,,500,PP-07,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_24,SL4-24,R,チアガールシャインスカート,ボトムス,70497,オレンジ,ブランドなし,,550,PP-07,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_25,SL4-25,R,チアガールシャインシューズ,シューズ,70498,オレンジ,ブランドなし,,450,PP-07,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_26,SL4-26,R,チアガールシャインヘアアクセ,ヘアアクセ,70499,オレンジ,ブランドなし,,450,PP-07,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_27,SL4-27,R,せいしゅんスクールれもんいろトップス,トップス,70488,黄,ブランドなし,,550,PP-08,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_28,SL4-28,R,せいしゅんスクールれもんいろスカート,ボトムス,70489,黄,ブランドなし,,450,PP-08,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_29,SL4-29,R,せいしゅんスクールれもんいろシューズ,シューズ,70490,黄,ブランドなし,,500,PP-08,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_30,SL4-30,R,せいしゅんスクールれもんいろヘアアクセ,ヘアアクセ,70491,黄,ブランドなし,,450,PP-08,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_31,SL4-31,R,プリパラポリスレッツイゴートップス,トップス,70492,紫,ブランドなし,,550,PP-09,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_32,SL4-32,R,プリパラポリスレッツイゴーパンツ,ボトムス,70493,紫,ブランドなし,,500,PP-09,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_33,SL4-33,R,プリパラポリスレッツイゴーシューズ,シューズ,70494,紫,ブランドなし,,450,PP-09,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl4_34,SL4-34,R,プリパラポリスレッツイゴーヘアアクセ,ヘアアクセ,70495,紫,ブランドなし,,450,PP-09,ミラクル☆キラッツセレクションチャンネル,2018年10月18日～11月16日
sl5_01,SL5-01,PR,はなのプリパリルージュトップス,トップス,70615,赤,ブランドなし,,850,5-27,メルティックスターセレクションチャンネル,2018年12月20日～2019年1月16日
sl5_02,SL5-02,PR,はなのプリパリルージュパンツ,ボトムス,70616,赤,ブランドなし,,800,5-27,メルティックスターセレクションチャンネル,2018年12月20日～2019年1月16日
sl5_03,SL5-03,PR,はなのプリパリルージュシューズ,シューズ,70617,赤,ブランドなし,,750,5-27,メルティックスターセレクションチャンネル,2018年12月20日～2019年1月16日
